gamma_sp,id_now,id_then,m200b_now,m200b_then
0.9303588494365436,3221059.0,2390547.0,15150000000000.0,9674000000000.0
0.012382767771752873,3221984.0,2391502.0,15120000000000.0,15030000000000.0
0.6603305305566803,3209641.0,2377867.0,14670000000000.0,10670000000000.0
0.7246683591977691,3226668.0,2396711.0,14650000000000.0,10330000000000.0
0.6124236384772995,3209633.0,2377854.0,14550000000000.0,10830000000000.0
1.5471883464015919,3212975.0,2381730.0,14270000000000.0,6768000000000.0
0.200329286197075,3224550.0,2394468.0,14120000000000.0,12820000000000.0
0.5016769930303997,3216719.0,2385914.0,14010000000000.0,11000000000000.0
1.8224091867613281,3216743.0,2385947.0,13360000000000.0,5549000000000.0
1.1832993075966731,3212987.0,2381752.0,13290000000000.0,7512000000000.0
0.3488011975507364,3210681.0,2379085.0,13050000000000.0,11030000000000.0
