ID_sp_then,gamma_sp,keep_idx,m200b_sp_now,m200b_sp_then
2389014,2.2034291758783553,63,19209437876415.27,6692356630980.282
2396692,0.5613762804471237,64,18279444947954.18,13973106306267.8
2391918,0.43292489124865474,65,18088839902523.22,14704035582710.691
2386794,2.5432867882557817,66,18227978990942.656,5397228569516.446
2396733,1.1666229571744393,67,17987493501480.434,10292314421090.293
2388985,1.4950401083317106,68,17569878142988.416,8591256208740.184
2391853,0.5609722780848287,69,17480585007723.77,13365028363569.547
2392959,0.9618892883105394,70,17352373938705.85,10950924956901.24
2385886,0.4728814399075259,71,16676558058688.834,13299280212405.97
2394492,0.7701021284345371,72,16378489703971.375,11329861789671.18
2394482,0.6225380553542696,73,16100396819101.988,11952407004522.148
2385978,1.4501110451587613,74,15838821176715.996,7913130368872.703
2390547,1.0058176213500614,75,15702396028951.072,9703496818218.203
2391502,0.6919790387832639,76,22513393416245.93,16166943934794.219
2377867,0.679999735487166,77,14851711880666.885,10726378771723.729
2396711,0.8432322707182708,78,15609663628097.453,10426673401087.932
2377854,0.6641255316881437,79,14984779553906.066,10905010423250.424
2381730,1.5970663430146803,80,14571903486995.342,6785787242786.05
2394468,0.23272671109461246,81,14507195799845.785,12978252168395.467
2385914,0.5388519138722226,82,14474057388478.559,11184110683498.188
2385947,1.8918640439761027,83,14230152388356.865,5754745380445.596
2381752,1.2300961174883986,84,13555733622044.426,7524434805733.332
2379085,0.36014896082558834,85,13242939079519.059,11146412990729.945
2396745,1.0921018782753833,86,12893711553375.982,7645536326799.867
2394268,0.5714463921826227,87,12969723808865.889,9866606989078.217
2379120,0.6781713698622476,88,13149934142860.432,9505614068620.303
2386820,1.0251334346691041,89,12729955446432.098,7794259244230.333
2391940,0.8469662063267602,90,12592908146799.545,8396576374399.194
2384168,0.7426883451453228,91,12362181447735.273,8664494725334.964
2389049,1.541734213885373,92,12225133615181.406,5845708640957.292
2379102,1.0113860769846754,93,12186711489895.85,7510893201595.398
2395769,1.6701382706915535,94,12098642112459.23,5440441530059.42
2382958,1.4324695869415718,95,12055601708874.904,6074083474414.59
2382969,1.8198093909948467,96,11856725268472.318,4963137829713.335
2386026,1.983134162067581,97,12111479981375.83,4688622180517.99
2379125,0.9764395798231902,98,11553644971992.273,7240806744450.684
2381705,2.881867842757479,99,11566757563284.414,2912574888464.6934
2381762,1.358915877141452,100,11609854947217.793,6059059568329.888
2389060,2.0380101993824886,101,11534323936291.951,4349460156107.525
2386806,1.3258829626560642,102,11455154049225.824,6073577065849.997
2382875,1.1481008006609446,103,12760972290706.83,7366744276181.157
2379026,1.16784300773658,104,12713819037439.953,7270509717059.35
